tconst,ordering,nconst,category,characters
tt1248537,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248537,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248537,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248537,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248537,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248537,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248537,7,nm0885090,actor,"[""John Scott""]"
tt1248537,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248537,9,nm0124798,actor,"[""Richard Steig""]"
tt1248537,10,nm0653660,actor,"[""Dr. Reyes""]"
tt1248538,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248538,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248538,3,nm0009716,actor,"[""Charlie Francis""]"
tt1248538,4,nm0714698,actor,"[""Phillip Broyles""]"
tt1248538,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248538,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248538,7,nm0885090,actor,"[""John Scott""]"
tt1248538,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248538,9,nm0364813,actor,"[""David Robert Jones""]"
tt1248538,10,nm0280355,actor,"[""Ryan Eastwick""]"
tt1248539,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248539,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248539,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248539,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248539,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248539,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248539,7,nm0885090,actor,"[""John Scott""]"
tt1248539,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248539,9,nm0309461,actor,"[""Sanford Harris""]"
tt1248539,10,nm0310966,actress,"[""Rachel""]"
tt1248540,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248540,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248540,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248540,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248540,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248540,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248540,7,nm0885090,actor,"[""John Scott""]"
tt1248540,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248540,9,nm0061777,actor,"[""Brian Dempsey""]"
tt1248540,10,nm0309461,actor,"[""Sanford Harris""]"
tt1248541,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248541,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248541,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248541,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248541,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248541,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248541,7,nm0885090,actor,"[""John Scott""]"
tt1248541,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248541,9,nm0310966,actress,"[""Rachel""]"
tt1248541,10,nm0813101,actor,"[""Daniel Hicks""]"
tt1248542,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248542,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248542,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248542,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248542,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248542,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248542,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248542,9,nm0147689,actor,"[""Christopher""]"
tt1248542,10,nm0089685,actor,"[""Dr. Claus Penrose""]"
tt1248543,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248543,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248543,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248543,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248543,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248543,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248543,7,nm0885090,actor,"[""John Scott""]"
tt1248543,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248543,9,nm0651008,actor,"[""Roy McComb""]"
tt1248543,10,nm0379282,actor,"[""Grant""]"
tt1248544,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248544,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248544,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248544,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248544,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248544,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248544,7,nm0885090,actor,"[""John Scott""]"
tt1248544,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248544,9,nm0148964,actor,"[""The Observer""]"
tt1248544,10,nm0446672,actor,"[""John Mosley""]"
tt1248545,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248545,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248545,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248545,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248545,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248545,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248545,7,nm0885090,actor,"[""John Scott""]"
tt1248545,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248545,9,nm0609114,actor,"[""Joseph Meegar""]"
tt1248545,10,nm0048755,actor,"[""Jacob Fischer""]"
tt1248546,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248546,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248546,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248546,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248546,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248546,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248546,7,nm0885090,actor,"[""John Scott""]"
tt1248546,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248546,9,nm0001177,actor,"[""David Esterbrook""]"
tt1248546,10,nm1978694,actress,"[""Emily Kramer""]"
tt1248547,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248547,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248547,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248547,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248547,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248547,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248547,7,nm0885090,actor,"[""John Scott""]"
tt1248547,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248547,9,nm0121605,actor,"[""Lucas Vogel""]"
tt1248547,10,nm0364813,actor,"[""David Robert Jones""]"
tt1248548,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248548,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248548,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248548,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248548,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248548,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248548,7,nm0885090,actor,"[""John Scott""]"
tt1248548,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248548,9,nm0006669,actor,"[""Dr. Sumner""]"
tt1248548,10,nm0453641,actor,"[""Dashiell Kim""]"
tt1248549,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1248549,2,nm0005045,actor,"[""Peter Bishop""]"
tt1248549,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1248549,4,nm0009716,actor,"[""Charlie Francis""]"
tt1248549,5,nm0001974,actress,"[""Nina Sharp""]"
tt1248549,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1248549,7,nm0885090,actor,"[""John Scott""]"
tt1248549,8,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1248549,9,nm0891485,actor,"[""George""]"
tt1248549,10,nm0592874,actress,"[""Tess Amaral""]"
tt1352058,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1352058,2,nm0005045,actor,"[""Peter Bishop""]"
tt1352058,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1352058,4,nm0009716,actor,"[""Charlie Francis""]"
tt1352058,5,nm0001974,actress,"[""Nina Sharp""]"
tt1352058,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1352058,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1352058,8,nm0364813,actor,"[""David Robert Jones""]"
tt1352058,9,nm0309461,actor,"[""Sanford Harris""]"
tt1352058,10,nm0063800,actor,"[""FBI Agent""]"
tt1371600,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1371600,2,nm0005045,actor,"[""Peter Bishop""]"
tt1371600,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1371600,4,nm0009716,actor,"[""Charlie Francis""]"
tt1371600,5,nm0001974,actress,"[""Nina Sharp""]"
tt1371600,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1371600,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1371600,8,nm0005292,actor,"[""Eliot Michaels""]"
tt1371600,9,nm0310966,actress,"[""Rachel""]"
tt1371600,10,nm1478535,actor,"[""The Child""]"
tt1375588,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1375588,2,nm0005045,actor,"[""Peter Bishop""]"
tt1375588,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1375588,4,nm0009716,actor,"[""Charlie Francis""]"
tt1375588,5,nm0001974,actress,"[""Nina Sharp""]"
tt1375588,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1375588,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1375588,8,nm0310966,actress,"[""Rachel""]"
tt1375588,9,nm0686042,actor,"[""Robert Swift""]"
tt1375588,10,nm0633470,actor,"[""Carl Bussler""]"
tt1380404,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1380404,2,nm0005045,actor,"[""Peter Bishop""]"
tt1380404,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1380404,4,nm0009716,actor,"[""Charlie Francis""]"
tt1380404,5,nm0001974,actress,"[""Nina Sharp""]"
tt1380404,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1380404,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1380404,8,nm0310966,actress,"[""Rachel""]"
tt1380404,9,nm1964247,actor,"[""Nick Lane""]"
tt1380404,10,nm0333318,actress,"[""Police Detective""]"
tt1390443,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1390443,2,nm0005045,actor,"[""Peter Bishop""]"
tt1390443,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1390443,4,nm0009716,actor,"[""Charlie Francis""]"
tt1390443,5,nm0001974,actress,"[""Nina Sharp""]"
tt1390443,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1390443,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1390443,8,nm0310966,actress,"[""Rachel""]"
tt1390443,9,nm0563070,actor,"[""Nicholas Boone""]"
tt1390443,10,nm0242654,actress,"[""Valerie Boone""]"
tt1400652,1,nm1396022,actress,"[""Olivia Dunham""]"
tt1400652,2,nm0005045,actor,"[""Peter Bishop""]"
tt1400652,3,nm0714698,actor,"[""Phillip Broyles""]"
tt1400652,4,nm0009716,actor,"[""Charlie Francis""]"
tt1400652,5,nm0001974,actress,"[""Nina Sharp""]"
tt1400652,6,nm1896248,actress,"[""Astrid Farnsworth""]"
tt1400652,7,nm0633604,actor,"[""Dr. Walter Bishop""]"
tt1400652,8,nm0364813,actor,"[""David Robert Jones""]"
