tconst,directors,writers
tt1248537,nm0336241,"nm0009190,nm0476064,nm0649460"
tt1248538,nm0956910,"nm0009190,nm0476064,nm0649460,nm1297559,nm0128663"
tt1248539,nm0870295,"nm0009190,nm0476064,nm0649460,nm0684374"
tt1248540,nm0689852,"nm0009190,nm0476064,nm0649460,nm1297559,nm0437267"
tt1248541,nm0026442,"nm0009190,nm0476064,nm0649460,nm1347078,nm0923738"
tt1248542,nm0250267,"nm0009190,nm0476064,nm0649460,nm0684374"
tt1248543,nm0870295,"nm0009190,nm0476064,nm0649460,nm1297559,nm1347078"
tt1248544,nm0250267,"nm0009190,nm0476064,nm0649460,nm0684374"
tt1248545,nm0592808,"nm0009190,nm0476064,nm0649460,nm0128663,nm3264196"
tt1248546,nm0247123,"nm0009190,nm0476064,nm0649460,nm0376429,nm0437267"
tt1248547,nm0026442,"nm0009190,nm0476064,nm0649460,nm0684374"
tt1248548,nm0394586,"nm0009190,nm0476064,nm0649460,nm1347078,nm1297559"
tt1248549,nm0870295,"nm0009190,nm0476064,nm0649460,nm3264196,nm0923738"
tt1352058,nm0053157,"nm0009190,nm0476064,nm0649460,nm1297559,nm3299755,nm3325073"
tt1371600,nm0870295,"nm0009190,nm0476064,nm0649460,nm0437267,nm3264196"
tt1375588,nm0026442,"nm0009190,nm0476064,nm0649460,nm0923738,nm1347078"
tt1380404,nm0326040,"nm0009190,nm0476064,nm0649460,nm0326040"
tt1390443,nm0744794,"nm0009190,nm0476064,nm0649460,nm0437249,nm1132610"
tt1400652,nm0026442,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040,nm1333357"
tt1400654,nm0870295,"nm0009190,nm0476064,nm0649460,nm0684374,nm1347078,nm0326040"
tt1458249,nm0326040,"nm0009190,nm0476064,nm0649460,nm0326040,nm2358277"
tt1461321,nm0026442,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm2358277"
tt1478012,nm0818465,"nm0009190,nm0476064,nm0649460,nm1243918,nm2358277"
tt1478013,nm0152640,"nm0009190,nm0476064,nm0649460,nm0826714,nm1005420,nm2358277"
tt1494949,nm0143984,"nm0009190,nm0476064,nm0649460,nm0437249,nm0900599"
tt1498335,nm0250267,"nm0009190,nm0476064,nm0649460,nm1802857"
tt1504315,nm0807932,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374"
tt1504316,nm0152640,"nm0009190,nm0476064,nm0649460,nm3325073,nm3299755"
tt1537132,nm0870295,"nm0009190,nm0476064,nm0649460,nm1297559,nm1132610"
tt1537133,nm0152640,"nm0009190,nm0476064,nm0649460,nm1802857,nm2358277"
tt1537134,nm0764776,"nm0009190,nm0476064,nm0649460,nm0900599,nm2358277"
tt1537135,nm0203215,"nm0009190,nm0476064,nm0649460,nm3299755,nm3325073,nm2358277"
tt1537136,nm0066596,"nm0009190,nm0476064,nm0649460,nm1005420,nm0826714"
tt1537137,nm0833191,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm1802857,nm0326040,nm2358277"
tt1537138,nm0026442,"nm0009190,nm0476064,nm0649460,nm3031048,nm2358277"
tt1537139,nm0946849,"nm0009190,nm0476064,nm0649460,nm0437249,nm0900599"
tt1537548,nm0844358,"nm0009190,nm0476064,nm0649460,nm1005420,nm0826714"
tt1537549,nm0389972,"nm0009190,nm0476064,nm0649460,nm1243918"
tt1595401,nm0402493,"nm0009190,nm0476064,nm0649460,nm1802857,nm1342473,nm2358277,nm3682921"
tt1595402,nm0542960,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040,nm3682921"
tt1616753,nm0152640,"nm0009190,nm0476064,nm0649460,nm1005420,nm0826714,nm2358277,nm3682921"
tt1616754,nm0326040,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm0326040"
tt1634617,nm0326040,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040"
tt1635941,nm0152640,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm3169366"
tt1635942,nm0066596,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm3169366"
tt1635943,nm0844358,"nm0009190,nm0476064,nm0649460,nm1802857,nm3169366"
tt1635944,nm0807932,"nm0009190,nm0476064,nm0649460,nm3169366,nm3031048"
tt1635945,nm0026442,"nm0009190,nm0476064,nm0649460,nm1243918,nm1342473,nm3169366"
tt1635946,nm0946849,"nm0009190,nm0476064,nm0649460,nm3299755,nm3325073,nm3169366"
tt1635947,nm0870295,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040,nm3169366"
tt1635948,nm0026442,"nm0009190,nm0476064,nm0649460,nm1802857,nm3169366"
tt1635949,nm0066596,"nm0009190,nm0476064,nm0649460,nm2878945,nm0437249,nm0684374,nm0326040,nm3169366"
tt1635950,nm0807932,"nm0009190,nm0476064,nm0649460,nm1041459,nm1044428,nm3169366"
tt1635951,nm0152640,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm0326040,nm3169366"
tt1635952,nm0402493,"nm0009190,nm0476064,nm0649460,nm1802857,nm3169366"
tt1635953,nm0844358,"nm0009190,nm0476064,nm0649460,nm1243918,nm1802857,nm3169366"
tt1635954,nm0946849,"nm0009190,nm0476064,nm0649460,nm1044428,nm1041459,nm3169366"
tt1635955,nm0152640,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040,nm3169366"
tt1635956,nm0026442,"nm0009190,nm0476064,nm0649460,nm1041459,nm1044428,nm3169366"
tt1635957,nm0277830,"nm0009190,nm0476064,nm0649460,nm1243918,nm3031048,nm3169366"
tt1635958,nm0833191,"nm0009190,nm0476064,nm0649460,nm1802857,nm1342473,nm3169366"
tt1635959,nm0152640,"nm0009190,nm0476064,nm0649460,nm3325073,nm3299755,nm3169366"
tt1635960,nm0751080,"nm0009190,nm0476064,nm0649460,nm1243918,nm3169366"
tt1635961,nm0026442,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm3169366"
tt1635962,nm0152640,"nm0009190,nm0476064,nm0649460,nm1044428,nm1041459,nm3169366"
tt1942299,nm0152640,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm0326040"
tt1974629,nm0026442,"nm0009190,nm0476064,nm0649460,nm1041459,nm1044428"
tt1998676,nm0764601,"nm0009190,nm0476064,nm0649460,nm0299236"
tt2032721,nm0152640,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040"
tt2032722,nm0389972,"nm0009190,nm0476064,nm0649460,nm1347078,nm3169366"
tt2032723,nm0026442,"nm0009190,nm0476064,nm0649460,nm3325073,nm3299755"
tt2032724,nm0376006,"nm0009190,nm0476064,nm0649460,nm3031048,nm2899027"
tt2080688,nm0844358,"nm0009190,nm0476064,nm0649460,nm0299236,nm3169366"
tt2097485,nm0813313,"nm0009190,nm0476064,nm0649460,nm1342473"
tt2097486,nm0066596,"nm0009190,nm0476064,nm0649460,nm0326040,nm0437249,nm0684374"
tt2097487,nm0152640,"nm0009190,nm0476064,nm0649460,nm1041459,nm1044428"
tt2125858,nm0833191,"nm0009190,nm0476064,nm0649460,nm1347078,nm3169366"
tt2125859,nm0152640,"nm0009190,nm0476064,nm0649460,nm1041459,nm1044428,nm3299755,nm3325073"
tt2142215,nm0402493,"nm0009190,nm0476064,nm0649460,nm0299236"
tt2166857,nm0437249,"nm0009190,nm0476064,nm0649460,nm0437249,nm3169366"
tt2201537,nm0870295,"nm0009190,nm0476064,nm0649460,nm0684374,nm0326040"
tt2201539,nm0610315,"nm0009190,nm0476064,nm0649460,nm0299236,nm1347078,nm3031048"
tt2208523,nm0844358,"nm0009190,nm0476064,nm0649460,nm3553141"
tt2208525,nm0152640,"nm0009190,nm0476064,nm0649460,nm0326040,nm0437249,nm0684374"
tt2208527,nm0066596,"nm0009190,nm0476064,nm0649460,nm3031048,nm4481526,nm3169366"
tt2208529,nm0152640,"nm0009190,nm0476064,nm0649460,nm0437249,nm0684374,nm0326040"
tt2208531,nm0152640,"nm0009190,nm0476064,nm0649460,nm0684374,nm0437249,nm0326040"
tt2222882,nm0844358,"nm0009190,nm0476064,nm0649460,nm0437249,nm0299236"
tt2352398,nm1926923,"nm0009190,nm0476064,nm0649460,nm3169366"
tt2383819,"nm0764601,nm0844358","nm0009190,nm0476064,nm0649460,nm0437249"
tt2385734,nm0833191,"nm0009190,nm0476064,nm0649460,nm1041459"
tt2385736,nm0675894,"nm0009190,nm0476064,nm0649460,nm0437249"
tt2385738,nm0143984,"nm0009190,nm0476064,nm0649460,nm0299236"
tt2411938,nm0251032,"nm0009190,nm0476064,nm0649460,nm3169366"
tt2411940,nm0331166,"nm0009190,nm0476064,nm0649460,nm4103655"
tt2411942,nm0807932,"nm0009190,nm0476064,nm0649460,nm1041459"
tt2411944,nm0402493,"nm0009190,nm0476064,nm0649460,nm0299236"
tt2411946,nm0675894,"nm0009190,nm0476064,nm0649460,nm1041459"
tt2411948,nm0389972,"nm0009190,nm0476064,nm0649460,nm3169366"
tt2411954,nm0437249,"nm0009190,nm0476064,nm0649460,nm0437249"
