tconst,parentTconst,seasonNumber,episodeNumber,episodeTitle,originalTitle,runtimeMinutes,episodeIndex
tt1248537,tt1119644,1,1,Pilot,Pilot,82,1
tt1248542,tt1119644,1,2,The Same Old Story,The Same Old Story,51,2
tt1248543,tt1119644,1,3,The Ghost Network,The Ghost Network,49,3
tt1248544,tt1119644,1,4,The Arrival,The Arrival,47,4
tt1248545,tt1119644,1,5,Power Hungry,Power Hungry,47,5
tt1248546,tt1119644,1,6,The Cure,The Cure,65,6
tt1248547,tt1119644,1,7,In Which We Meet Mr. Jones,In Which We Meet Mr. Jones,60,7
tt1248548,tt1119644,1,8,The Equation,The Equation,47,8
tt1248549,tt1119644,1,9,The Dreamscape,The Dreamscape,49,9
tt1248538,tt1119644,1,10,Safe,Safe,65,10
tt1248539,tt1119644,1,11,Bound,Bound,65,11
tt1248540,tt1119644,1,12,The No-Brainer,The No-Brainer,52,12
tt1248541,tt1119644,1,13,The Transformation,The Transformation,62,13
tt1352058,tt1119644,1,14,Ability,Ability,51,14
tt1371600,tt1119644,1,15,Inner Child,Inner Child,59,15
tt1375588,tt1119644,1,16,Unleashed,Unleashed,57,16
tt1380404,tt1119644,1,17,Bad Dreams,Bad Dreams,58,17
tt1390443,tt1119644,1,18,Midnight,Midnight,57,18
tt1400654,tt1119644,1,19,The Road Not Taken,The Road Not Taken,48,19
tt1400652,tt1119644,1,20,There's More Than One of Everything,There's More Than One of Everything,48,20
tt1458249,tt1119644,2,1,A New Day in the Old Town,A New Day in the Old Town,44,21
tt1461321,tt1119644,2,2,Night of Desirable Objects,Night of Desirable Objects,44,22
tt1478012,tt1119644,2,3,Fracture,Fracture,44,23
tt1478013,tt1119644,2,4,Momentum Deferred,Momentum Deferred,44,24
tt1498335,tt1119644,2,5,Dream Logic,Dream Logic,42,25
tt1494949,tt1119644,2,6,Earthling,Earthling,43,26
tt1504316,tt1119644,2,7,Of Human Action,Of Human Action,44,27
tt1504315,tt1119644,2,8,August,August,43,28
tt1537549,tt1119644,2,9,Snakehead,Snakehead,42,29
tt1537548,tt1119644,2,10,Grey Matters,Grey Matters,43,30
tt1537132,tt1119644,2,11,Unearthed,Unearthed,43,31
tt1537133,tt1119644,2,12,Johari Window,Johari Window,42,32
tt1537134,tt1119644,2,13,What Lies Below,What Lies Below,44,33
tt1537135,tt1119644,2,14,The Bishop Revival,The Bishop Revival,44,34
tt1537136,tt1119644,2,15,Jacksonville,Jacksonville,44,35
tt1537137,tt1119644,2,16,Peter,Peter,44,36
tt1537138,tt1119644,2,17,Olivia. In the Lab. With the Revolver,Olivia. In the Lab. With the Revolver,44,37
tt1537139,tt1119644,2,18,White Tulip,White Tulip,44,38
tt1595401,tt1119644,2,19,The Man from the Other Side,The Man from the Other Side,44,39
tt1595402,tt1119644,2,20,Brown Betty,Brown Betty,44,40
tt1616753,tt1119644,2,21,Northwest Passage,Northwest Passage,44,41
tt1616754,tt1119644,2,22,Over There: Part 1,Over There: Part 1,44,42
tt1634617,tt1119644,2,23,Over There: Part 2,Over There: Part 2,43,43
tt1635941,tt1119644,3,1,Olivia,Olivia,44,44
tt1635952,tt1119644,3,2,The Box,The Box,44,45
tt1635956,tt1119644,3,3,The Plateau,The Plateau,60,46
tt1635957,tt1119644,3,4,Do Shapeshifters Dream of Electric Sheep?,Do Shapeshifters Dream of Electric Sheep?,60,47
tt1635958,tt1119644,3,5,Amber 31422,Amber 31422,55,48
tt1635959,tt1119644,3,6,6955 kHz,6955 kHz,60,49
tt1635960,tt1119644,3,7,The Abducted,The Abducted,60,50
tt1635961,tt1119644,3,8,Entrada,Entrada,60,51
tt1635962,tt1119644,3,9,Marionette,Marionette,60,52
tt1635942,tt1119644,3,10,The Firefly,The Firefly,43,53
tt1635943,tt1119644,3,11,Reciprocity,Reciprocity,43,54
tt1635944,tt1119644,3,12,Concentrate and Ask Again,Concentrate and Ask Again,43,55
tt1635945,tt1119644,3,13,Immortality,Immortality,44,56
tt1635946,tt1119644,3,14,6B,6B,44,57
tt1635947,tt1119644,3,15,Subject 13,Subject 13,44,58
tt1635948,tt1119644,3,16,Os,Os,44,59
tt1635949,tt1119644,3,17,Stowaway,Stowaway,60,60
tt1635950,tt1119644,3,18,Bloodline,Bloodline,60,61
tt1635951,tt1119644,3,19,Lysergic Acid Diethylamide,Lysergic Acid Diethylamide,60,62
tt1635953,tt1119644,3,20,6:02 AM EST,6:02 AM EST,60,63
tt1635954,tt1119644,3,21,The Last Sam Weiss,The Last Sam Weiss,60,64
tt1635955,tt1119644,3,22,The Day We Died,The Day We Died,60,65
tt1942299,tt1119644,4,1,Neither Here Nor There,Neither Here Nor There,44,66
tt1974629,tt1119644,4,2,One Night in October,One Night in October,43,67
tt1998676,tt1119644,4,3,Alone in the World,Alone in the World,43,68
tt2032721,tt1119644,4,4,Subject 9,Subject 9,44,69
tt2032722,tt1119644,4,5,Novation,Novation,44,70
tt2032723,tt1119644,4,6,And Those We've Left Behind,And Those We've Left Behind,45,71
tt2032724,tt1119644,4,7,Wallflower,Wallflower,43,72
tt2080688,tt1119644,4,8,Back to Where You've Never Been,Back to Where You've Never Been,44,73
tt2097487,tt1119644,4,9,Enemy of My Enemy,Enemy of My Enemy,43,74
tt2097485,tt1119644,4,10,Forced Perspective,Forced Perspective,44,75
tt2097486,tt1119644,4,11,Making Angels,Making Angels,44,76
tt2125858,tt1119644,4,12,Welcome to Westfield,Welcome to Westfield,44,77
tt2125859,tt1119644,4,13,A Better Human Being,A Better Human Being,44,78
tt2142215,tt1119644,4,14,The End of All Things,The End of All Things,44,79
tt2166857,tt1119644,4,15,A Short Story About Love,A Short Story About Love,44,80
tt2201537,tt1119644,4,16,Nothing As It Seems,Nothing As It Seems,44,81
tt2201539,tt1119644,4,17,Everything in Its Right Place,Everything in Its Right Place,43,82
tt2208523,tt1119644,4,18,The Consultant,The Consultant,43,83
tt2208525,tt1119644,4,19,Letters of Transit,Letters of Transit,43,84
tt2208527,tt1119644,4,20,Worlds Apart,Worlds Apart,44,85
tt2208529,tt1119644,4,21,Brave New World: Part 1,Brave New World: Part 1,44,86
tt2208531,tt1119644,4,22,Brave New World: Part 2,Brave New World: Part 2,44,87
tt2383819,tt1119644,5,1,Transilience Thought Unifier Model-11,Transilience Thought Unifier Model-11,43,88
tt2222882,tt1119644,5,2,In Absentia,In Absentia,42,89
tt2352398,tt1119644,5,3,The Recordist,The Recordist,41,90
tt2385734,tt1119644,5,4,The Bullet That Saved the World,The Bullet That Saved the World,42,91
tt2385736,tt1119644,5,5,An Origin Story,An Origin Story,42,92
tt2385738,tt1119644,5,6,Through the Looking Glass and What Walter Found There,Through the Looking Glass and What Walter Found There,42,93
tt2411938,tt1119644,5,7,Five-Twenty-Ten,Five-Twenty-Ten,42,94
tt2411942,tt1119644,5,8,The Human Kind,The Human Kind,42,95
tt2411940,tt1119644,5,9,Black Blotter,Black Blotter,42,96
tt2411944,tt1119644,5,10,Anomaly XB-6783746,Anomaly XB-6783746,42,97
tt2411948,tt1119644,5,11,The Boy Must Live,The Boy Must Live,42,98
tt2411946,tt1119644,5,12,Liberty,Liberty,43,99
tt2411954,tt1119644,5,13,An Enemy of Fate,An Enemy of Fate,43,100
