nconst,primaryName
nm0000374,Brad Dourif
nm0000502,Christopher Lloyd
nm0000559,Leonard Nimoy
nm0000588,Martha Plimpton
nm0000622,Theresa Russell
nm0000693,Peter Weller
nm0001177,Chris Eigeman
nm0001496,Amy Madigan
nm0001688,Alan Ruck
nm0001698,John Savage
nm0001974,Blair Brown
nm0002245,Tzi Ma
nm0003067,Sebastian Roché
nm0003078,Roger Cross
nm0005045,Joshua Jackson
nm0005292,Erik Palladino
nm0005402,Travis Schuldt
nm0006669,William Sadler
nm0009190,J.J. Abrams
nm0009530,Alon Aboutboul
nm0009716,Kirk Acevedo
nm0009811,Mark Acheson
nm0009964,Don Ackerman
nm0010956,Enid-Raye Adams
nm0014803,Andrew Airlie
nm0015865,Zak Santiago
nm0019997,Patti Allan
nm0026442,Brad Anderson
nm0029131,Kevin J. Andruschak
nm0036261,Jeannetta Arnette
nm0036275,Stefan Arngrim
nm0039148,Aaron Ashmore
nm0039162,Shawn Ashmore
nm0040926,Lauren Akemi Bradley
nm0043891,John Aylward
nm0046420,Giacomo Baessato
nm0048755,Max Baker
nm0053157,Norberto Barba
nm0055567,Demore Barnes
nm0057626,Catherine Barroll
nm0061777,Chris Bauer
nm0063800,Noah Bean
nm0066596,Charles Beeson
nm0066737,Noah Beggs
nm0068160,Doron Bell
nm0076702,Sean Campbell
nm0081197,Victoria Bidewell
nm0089093,Jenni Blong
nm0089151,David Bloom
nm0089685,Mark Blum
nm0100068,JR Bourne
nm0103699,Orla Brady
nm0117206,Peter Bryant
nm0121605,Billy Burke
nm0124798,Jason Butler Harner
nm0125148,Tom Butler
nm0128663,Jason Cahill
nm0136802,Nicholas Carella
nm0137856,Amy Carlson
nm0143984,Jon Cassar
nm0144307,John Cassini
nm0147689,Derek Cecil
nm0148964,Michael Cerveris
nm0152113,Morris Chapdelaine
nm0152640,Joe Chappelle
nm0154000,Christine Chatelain
nm0167626,Conrad Coates
nm0168213,Shannon Cochran
nm0170809,Ted Cole
nm0180984,Kevin Corrigan
nm0181787,Seth Gabel
nm0182099,Joe Costa
nm0192024,Martin Cummins
nm0193738,Henry Ian Cusick
nm0193987,D. Harlan Cutshall
nm0203215,Adam Davidson
nm0203728,Glynis Davies
nm0212508,Kaaren de Zilva
nm0241039,Claude Duhamel
nm0242654,Trieste Kelly Dunn
nm0247123,Bill Eagles
nm0249550,Sarah Edmondson
nm0250267,Paul A. Edwards
nm0251032,Eagle Egilsson
nm0254637,Steve Elliott
nm0272316,Sandra Ferens
nm0277830,Kenneth Fink
nm0280355,Paul Fitzgerald
nm0281167,Joe Flanigan
nm0299236,David Fury
nm0301925,Vincent Gale
nm0309461,Michael Gaston
nm0310966,Ari Graynor
nm0316078,Marcus Giamatti
nm0326040,Akiva Goldsman
nm0331166,Tommy Gormley
nm0331577,Luke Goss
